tmdb_id,title,release_date,release_year,release_window,genres,genre_bn,budget,revenue,budget_adj,revenue_adj,profit_ratio,outcome_label,budget_tier,prestige_tier,lead_actor,cast_names,cast_ids,runtime,vote_average,vote_count,popularity
8966,Twilight,2008-11-20,2008,Holiday,Fantasy|Drama|Romance,Sci-Fi,37000000,393616788,54098708.77844867,575517837.0,10.638291559913705,Blockbuster,Mid,Established,Kristen Stewart,Kristen Stewart|Robert Pattinson|Billy Burke|Peter Facinelli|Ashley Greene,37917|11288|21029|56857|45827,122,6.28,14321,18.7829
41733,Due Date,2010-11-03,2010,Holiday,Comedy|Drama,Comedy,65000000,211800000,93818156.8088033,305702856.0,3.258461543035929,Hit,Mid,A-list,Robert Downey Jr.,Robert Downey Jr.|Zach Galifianakis|Michelle Monaghan|Jamie Foxx|Juliette Lewis,3223|58225|11705|134|3196,95,6.392,5775,6.1947
8967,The Tree of Life,2011-05-17,2011,Spring,Drama|Fantasy,Drama,32000000,54700000,44790893.73054691,76564434.0,1.7093750006551864,Break-even,Mid,A-list,Brad Pitt,Brad Pitt|Jessica Chastain|Hunter McCracken|Sean Penn|Fiona Shaw,287|83002|1715121|2228|10981,139,6.726,3308,4.0236
82693,Silver Linings Playbook,2012-11-16,2012,Holiday,Drama|Comedy|Romance,Drama,21000000,236412453,28792317.073170733,324136300.0,11.257735845859964,Blockbuster,Low,Established,Bradley Cooper,Bradley Cooper|Jennifer Lawrence|Robert De Niro|Jacki Weaver|Anupam Kher,51329|72129|380|67837|6217,122,7.2,12589,14.6119
82695,Les Misérables,2012-12-18,2012,Holiday,History|Drama,Drama,61000000,442636309,83634825.78397213,606882141.0,7.256332936802788,Blockbuster,Mid,Established,Hugh Jackman,Hugh Jackman|Russell Crowe|Amanda Seyfried|Anne Hathaway|Eddie Redmayne,6968|934|71070|1813|37632,158,7.308,5549,11.8406
82700,After Earth,2013-05-30,2013,Spring,Science Fiction|Action|Adventure,Sci-Fi,130000000,243843127,175637253.2188841,329445670.0,1.875716364053106,Break-even,High,Rising,Jaden Smith,Jaden Smith|Will Smith|Sophie Okonedo|Zoë Kravitz|Glenn Morshower,120724|2888|2598|37153|12797,100,5.176,6830,3.5203
271110,Captain America: Civil War,2016-04-27,2016,Spring,Adventure|Action|Science Fiction,Action,250000000,1155046416,327912500.0,1515016632.0,4.620185665383296,Hit,Mega,A-list,Chris Evans,Chris Evans|Robert Downey Jr.|Scarlett Johansson|Sebastian Stan|Anthony Mackie,16828|3223|1245|60898|53650,147,7.447,23901,15.4559
82702,How to Train Your Dragon 2,2014-06-05,2014,Summer,Fantasy|Action|Adventure|Animation|Family,Sci-Fi,145000000,621537519,192840811.1533587,826605513.0,4.286465650378505,Hit,High,Emerging,Jay Baruchel,Jay Baruchel|Cate Blanchett|Gerard Butler|Craig Ferguson|America Ferrera,449|112|17276|24264|59174,102,7.679,10352,9.8974
8975,The Marine,2006-10-13,2006,Other,Action,Action,20000000,22165608,31229761.904761907,34611333.0,1.108280399496817,Break-even,Low,Established,John Cena,John Cena|Robert Patrick|Kelly Carlson|Anthony Ray Parker|Abigail Bianca,56446|418|56447|9378|160179,92,5.973,815,2.2947
8976,A Lot Like Love,2005-04-21,2005,Spring,Comedy|Drama|Romance,Comedy,30000000,42886719,48355760.368663594,69127330.0,1.4295572952007014,Break-even,Mid,Rising,Ashton Kutcher,Ashton Kutcher|Amanda Peet|Kathryn Hahn|Kal Penn|Ali Larter,18976|2956|17696|53493|17303,107,6.826,1356,2.8386
82703,Mr. Peabody & Sherman,2014-02-07,2014,Other,Animation|Science Fiction|Comedy|Adventure|Family,Comedy,145000000,272912430,192840811.1533587,362956237.0,1.8821546892963192,Break-even,High,Emerging,Ty Burrell,Ty Burrell|Max Charles|Ariel Winter|Allison Janney|Stephen Colbert,15232|558928|42160|19|58769,92,6.724,2517,4.4804
786,Almost Famous,2000-09-15,2000,Other,Drama|Music,Drama,60000000,47386287,109685017.4216028,86626095.0,0.7897714476994624,Flop,High,Emerging,Billy Crudup,Billy Crudup|Frances McDormand|Kate Hudson|Jason Lee|Patrick Fugit,8289|3910|11661|11662|11663,124,7.499,3072,5.4287
787,Mr. & Mrs. Smith,2005-06-07,2005,Summer,Action|Comedy|Drama|Thriller,Action,110000000,487287646,177304454.68509984,785438821.0,4.4298876889188845,Hit,High,A-list,Brad Pitt,Brad Pitt|Angelina Jolie|Vince Vaughn|Adam Brody|Kerry Washington,287|11701|4937|11702|11703,120,6.691,11135,8.9702
8978,Assault on Precinct 13,2005-01-19,2005,Other,Thriller|Action|Adventure|Crime,Action,30000000,35294470,48355760.368663594,56889698.0,1.176482337704418,Break-even,Mid,Established,Ethan Hawke,Ethan Hawke|Laurence Fishburne|Gabriel Byrne|Maria Bello|Drea De Matteo,569|2975|5168|49|70767,109,6.179,1183,2.3328
205587,The Judge,2014-10-08,2014,Other,Drama,Drama,40000000,84419388,53197465.14575412,112272436.0,2.110484694945298,Break-even,Mid,A-list,Robert Downey Jr.,Robert Downey Jr.|Robert Duvall|Vera Farmiga|Vincent D'Onofrio|Jeremy Strong,3223|3087|21657|7132|239271,141,7.33,4397,5.2461
205584,Gods of Egypt,2016-02-25,2016,Other,Action|Adventure|Fantasy,Action,140000000,150680864,183631000.0,197640555.0,1.0762918842679068,Break-even,High,Rising,Nikolaj Coster-Waldau,Nikolaj Coster-Waldau|Brenton Thwaites|Gerard Butler|Chadwick Boseman|Élodie Yung,12795|1017347|17276|172069|78147,127,5.69,4322,5.8869
791,The Fog,2005-10-14,2005,Other,Horror|Mystery,Horror,18000000,46201432,29013456.221198156,74470179.0,2.5667462170739146,Hit,Low,Rising,Tom Welling,Tom Welling|Maggie Grace|Selma Blair|DeRay Davis|Kenneth Welsh,11824|11825|11826|11827|6074,100,4.553,818,3.1596
664341,Eileen,2023-12-01,2023,Holiday,Thriller|Crime,Action,16000000,1560142,16530039.185827464,1611826.0,0.09750890375274782,Flop,Low,Emerging,Thomasin McKenzie,Thomasin McKenzie|Anne Hathaway|Shea Whigham|Sam Nivola|Marin Ireland,1356758|1813|74242|3153829|164094,98,5.825,377,2.9913
1008409,The Bikeriders,2024-06-19,2024,Summer,Crime|Drama,Horror,40000000,36110860,40000000.0,36110860.0,0.9027715,Flop,Mid,Rising,Austin Butler,Austin Butler|Jodie Comer|Tom Hardy|Michael Shannon|Mike Faist,86654|1388593|2524|335|1423520,116,6.674,1116,11.5091
893723,PAW Patrol: The Mighty Movie,2023-09-21,2023,Other,Family|Comedy|Adventure|Animation,Comedy,30000000,202231360,30993823.473426495,208930769.0,6.741045330503776,Blockbuster,Low,A-list,Mckenna Grace,Mckenna Grace|Taraji P. Henson|Marsai Martin|Iain Armitage|Ron Pardo,1172108|40036|1407498|1684536|1227611,88,6.993,538,9.2623
49948,Fantasia 2000,2000-01-01,2000,Other,Animation|Family|Music,Comedy,80000000,60655420,146246689.89547038,110883180.0,0.7581927500667098,Flop,High,Rising,Steve Martin,Steve Martin|Itzhak Perlman|Quincy Jones|Bette Midler|James Earl Jones,67773|166002|13301|73931|15152,74,6.972,1363,3.7124
8988,Stop-Loss,2008-03-28,2008,Spring,Drama|War,Drama,25000000,11207130,36553181.60705991,16386250.0,0.44828519104435893,Flop,Low,Established,Ryan Phillippe,Ryan Phillippe|Abbie Cornish|Joseph Gordon-Levitt|Channing Tatum|Josef Sommer,11864|37260|24045|38673|14792,113,6.108,272,2.8043
49950,The Roommate,2011-02-04,2011,Other,Thriller|Drama|Horror,Action,16000000,52545707,22395446.865273453,73549037.0,3.2841066955464813,Hit,Low,Rising,Leighton Meester,Leighton Meester|Minka Kelly|Cam Gigandet|Aly Michalka|Danneel Ackles,85825|96625|55086|90033|81164,91,5.381,986,3.5221
205596,The Imitation Game,2014-11-14,2014,Holiday,History|Drama|Thriller|War,Drama,14000000,233555708,18619112.801013943,310614291.0,16.682550576904227,Blockbuster,Low,Established,Benedict Cumberbatch,Benedict Cumberbatch|Keira Knightley|Matthew Goode|Rory Kinnear|Allen Leech,71580|116|1247|139549|85718,113,7.985,17965,12.5361
205601,Belle,2013-05-01,2013,Spring,Drama,Drama,10900000,16500000,14726508.154506437,22292421.0,1.513761494993525,Break-even,Low,Emerging,Gugu Mbatha-Raw,Gugu Mbatha-Raw|Tom Wilkinson|Sam Reid|Emily Watson|Sarah Gadon,1216606|207|589650|1639|190895,105,7.079,721,2.2269
230179,Big Game,2014-09-05,2014,Other,Action|Adventure|Thriller,Action,8500000,7500000,11304461.34347275,9974525.0,0.8823529664028917,Flop,Low,A-list,Samuel L. Jackson,Samuel L. Jackson|Onni Tommila|Ray Stevenson|Victor Garber|Mehmet Kurtuluş,2231|124870|56614|8536|5496,90,5.491,1220,2.7093
8999,Derailed,2005-11-11,2005,Holiday,Drama|Thriller,Drama,22000000,57479076,35460890.93701997,92648148.0,2.612685286575202,Hit,Low,Rising,Clive Owen,Clive Owen|Jennifer Aniston|Vincent Cassel|Melissa George|Giancarlo Esposito,2296|4491|1925|27755|4808,108,6.366,1126,2.2231
808,Shrek,2001-05-18,2001,Spring,Animation|Comedy|Fantasy|Adventure|Family,Comedy,60000000,488977919,106650254.09373236,869160322.0,8.14963198527512,Blockbuster,High,Emerging,Mike Myers,Mike Myers|Eddie Murphy|Cameron Diaz|John Lithgow|Vincent Cassel,12073|776|6941|12074|1925,90,7.759,18595,22.2528
809,Shrek 2,2004-05-19,2004,Spring,Animation|Family|Comedy|Fantasy|Romance,Comedy,150000000,935454538,249970354.6850185,1558906018.0,6.236363587851604,Blockbuster,Mega,Emerging,Mike Myers,Mike Myers|Eddie Murphy|Cameron Diaz|Julie Andrews|Antonio Banderas,12073|776|6941|5823|3131,92,7.31,13336,13.1027
810,Shrek the Third,2007-05-17,2007,Spring,Fantasy|Adventure|Animation|Comedy|Family,Sci-Fi,160000000,813367380,242968451.51953688,1235141330.0,5.083546124097035,Blockbuster,Mega,Emerging,Mike Myers,Mike Myers|Eddie Murphy|Cameron Diaz|Antonio Banderas|Julie Andrews,12073|776|6941|3131|5823,93,6.305,9715,10.0269
58151,Fright Night,2011-08-18,2011,Summer,Horror|Comedy,Horror,30000000,41002607,41991462.87238773,57391982.0,1.366753574992482,Break-even,Mid,Emerging,Anton Yelchin,Anton Yelchin|Colin Farrell|Toni Collette|David Tennant|Imogen Poots,21028|72466|3051|20049|17606,106,6.237,2093,3.3186
353069,Mother's Day,2016-04-28,2016,Spring,Comedy|Drama|Romance,Comedy,25000000,48782670,32791250.0,63985789.0,1.9513067967826783,Break-even,Low,A-list,Jennifer Aniston,Jennifer Aniston|Julia Roberts|Kate Hudson|Jason Sudeikis|Sarah Chalke,4491|1204|11661|58224|49001,118,6.0,1309,3.3474
9007,Just Like Heaven,2005-09-16,2005,Other,Comedy|Romance|Fantasy,Comedy,58000000,102900000,93487803.37941627,165860258.0,1.774137930344381,Break-even,Mid,A-list,Reese Witherspoon,Reese Witherspoon|Mark Ruffalo|Donal Logue|Dina Spybey-Waters|Ben Shenkman,368|103|10825|56567|6437,95,6.959,2548,3.8287
